feature_name,feature_type,original_dtype,recommended_action
id,Identifier,int64,Drop
restaurant_id,Identifier,int64,Drop
rider_id,Identifier,int64,Drop
drop_lat,GPS,float64,Distance Engineering
drop_lon,GPS,float64,Distance Engineering
order_size,Numerical,int64,Scale
order_value,Numerical,float64,Scale
timestamp,Datetime,str,Extract Features
promised_eta,Numerical,float64,Scale
actual_delivery_time_min,Target,float64,Prediction Target
order_status,Categorical,str,Encode
promo_code_used,Categorical,str,Encode
id_restaurant,Identifier,int64,Drop
name,Categorical,str,Encode
lat,GPS,float64,Distance Engineering
lon,GPS,float64,Distance Engineering
cuisine,Categorical,str,Encode
avg_rating,Numerical,float64,Scale
prep_capacity,Numerical,int64,Scale
manager_contact,Categorical,str,Encode
id_rider,Identifier,int64,Drop
lat_rider,GPS,float64,Distance Engineering
lon_rider,GPS,float64,Distance Engineering
vehicle_type,Categorical,str,Encode
completed_orders,Numerical,int64,Scale
shift_hours,Numerical,float64,Scale
current_load,Numerical,int64,Scale
rider_call_sign,Categorical,str,Encode
